_id,APPLICATION_DATE,COMPLETED_DATE,DESCRIPTION,GREEN_ROOF_AREA,GREEN_ROOF_VARIATION_AREA,ISSUED_DATE,PERMIT_NUM,PERMIT_TYPE,POSTAL,REVISION_NUM,STATUS,STREET_DIRECTION,STREET_NAME,STREET_NUM,STREET_TYPE,STRUCTURE_TYPE
48716,2014-02-03,,"Proposal to construct a 13 sty condo with 363 residential units, 4 levels of below grade parking including 1 level of commercial parking, and ground floor commercial.",1869.9,,2016-10-26,14 112598,New Building,   ,0,Inspection, ,MERCHANTS' WHARF,15, ,Mixed Use/Res w Non Res
48717,2014-03-05,,"New four storey secondary school - ""Lawrence Midland Secondary School""",1063,1376.5,2017-03-29,14 124642,New Building,M1P,0,Inspection, ,MIDLAND,1555,AVE,Secondary School
48718,2014-03-07,2020-11-16,"Construct new (11) storey mixed use condo/rental building with retail at grade, and (3) stories of underground parking. Building will contain a total of 102 dwelling units; 24 of these are replacement rental dwelling units. (fb-Nov 6, 2016)",202,0.0,2016-11-23,14 125945,New Building,M6P,0,Closed,W,BLOOR,1990,ST,Mixed Use/Res w Non Res
48719,2014-03-07,,"Proposal to construct a 10 sty addition on top of existing 33 sty building, 8 sty addition at north side for rental apartments, 8 sty addition at south side for condos, and interior alterations to all floors to convert from hotel/rental building (118 units) to condo's including ground floor retail.  New Total Residential Units = 769.  Existing below parking garage to remain.  See active interior demo permit 14 120033 BLD, and permit for exterior cladding removal 14 126031 BLD.",624,,2015-12-14,14 126064,Building Additions/Alterations,M5S,0,Inspection, ,BAY,955,ST,Multiple Use/Non Residential
48720,2016-09-30,,Revision to height of building as per COA approval.,628,0.0,2017-09-08,14 126064,Building Additions/Alterations,M5S,2,Revision Issued, ,BAY,955,ST,Multiple Use/Non Residential
48721,2014-03-10,,To construct a new 5 storey condo building containing 45 residential units.,252,0.0,2018-06-14,14 126703,New Building,M5V,0,Inspection, ,NIAGARA,90,ST,Apartment Building
48722,2014-03-13,,Proposal to construct a new 11-storey mixed use condominium building containing 95 residential units with retail uses on the ground floor. Scope of work includes 2 floors below grade underground parking garage.,366.0,0.0,2015-05-28,14 128197,New Building,M5T,0,Inspection, ,SPADINA,270,AVE,Mixed Use/Res w Non Res
48723,2014-03-13,2020-02-10,"CONSTRUCT 8-10 STOREY MIXED USE RESIDENTIAL CONDO, 3 LEVEL BELOW GRADE PARKING GARAGE, RETAIL AT GRADE",320.90,0.0,2016-12-07,14 128260,New Building,M1N,0,Closed, ,KINGSTON,1088,RD,Mixed Use/Res w Non Res
48724,2014-03-14,,To construct a new 15 storey condo building containing 249 residential units.,640,0.0,2016-10-19,14 128856,New Building,   ,0,Permit Issued, ,IANNUZZI,70,ST,Apartment Building
48725,2014-03-25,2015-05-01,Construct new two storey detached single family dwelling with integral garage and finished basement,362.41,,2014-04-25,14 133054,New Houses,M2R,0,Cancelled, ,FARRELL,12,AVE,SFD - Detached
48726,2014-04-01,2016-09-16,"Proposal for interior alterations to convert from a 4 unit dwelling to a single family dwelling, rebuild front porch, rebuild back mudroom, and demolish attached garage.",0,,2014-05-28,14 136120,Small Residential Projects,M6R,0,Closed, ,INDIAN,171,RD,SFD - Detached
48727,2014-04-14,,Proposal to construct a 10 sty condo with 143 residential units and 3 levels of below grade parking.,433.5,,2016-01-06,14 142189,New Building,M6R,0,Inspection, ,SORAUREN,383,AVE,Apartment Building
48728,2014-04-17,2016-04-26,"Two storey addition to existing book depository to provide storage of books and multi-media archival materials - University of Toronto - UPDC, Design & Engineering Group",2203,,2014-10-02,14 144636,Building Additions/Alterations,M3H,0,Closed, ,DUFFERIN,4925,ST,Industrial
48729,2014-04-24,,Phase 1 - 17 storey residential condominium building with 186  units Buidling B with underground parking garage,50,,2016-09-14,14 146712,New Building,M2J,0,Inspection, ,ALLENBURY,3-5,GDNS,Apartment Building
48730,2014-04-24,2015-05-20,"Proposal to construct third and fourth storey addition to existing educational building ""F"".
STR PP was approved as if it would be constructed a green roof between appr. gridlines 2-9 and A-B.",203,203.0,,14 147030,Building Additions/Alterations,M9W,0,Cancelled, ,HUMBER COLLEGE,205,BLVD,College/Trade/Tech School/Training Cent.
48731,2014-04-28,2020-01-15,"Proposal to construct a 25 sty condo with 256 units, ground floor commercial, and 4 levels of below grade parking.  Smart House.",74.6,0.0,2017-06-23,14 148303,New Building,   ,0,Closed,W,QUEEN,219,ST,Mixed Use/Res w Non Res
48732,2017-07-21,2017-09-29,"REVISION #7 - Changes to South end of building including added greenroof, reconfigured doors, and reconfigured washrooms.

REVISION #6 - structural revisions to roof and layout",1675,0.0,2017-09-22,14 150989,Building Additions/Alterations,M6K,7,Closed, ,FRASER,2-20,AVE,Industrial
48733,2014-05-14,,"Proposal to construct a 2 sty rear addition for the new Science, Technology, Engineering and Math (S.T.E.M.) Labs with mechanical roof top above, new gymnasium below grade, and interior alterations for new Arts Centre to existing Bishop Strachan School. Note: See separate permits for generator relocation and demolition of Head Master's house.",640.77,0.0,2015-10-06,14 156648,Building Additions/Alterations,M4V,0,Inspection, ,LONSDALE,298,RD,Secondary School
48734,2014-05-15,2019-08-09,"To construct a new 9 storey rental apartment building containing 51 units and two levels of underground parking.
See C of A  #A0087/14TEY and #A0769/14TEY.",107,,2018-07-19,14 157349,New Building,M6C,0,Closed, ,VAUGHAN,109,RD,Apartment Building
48735,2014-05-21,,Proposal to construct an 8-storey mixed-use building containing commercial uses at grade with 83 dwelling units above plus an additional 13 multi floor townhouse type units. There will be 2 levels of below grade parking containing  105 parking spaces and a total of 79 bicycle spaces will be provided on site. ,328,,2016-05-17,14 159180,New Building,M4M,0,Inspection,E,DUNDAS,1230,ST,Mixed Use/Res w Non Res
48736,2014-05-28,,"Block 37: Proposal to construct 3 condo towers, 30 sty, 18 sty, and 8 sty, with a total of 625 residential units, 4 levels of below grade parking, and retail & office on portions of the ground and 2nd floors.  Concord Adex Block 37 Buildings 
TOWER CC (70 QUEENS WHARF RD), 
TOWER DD (80 QUEENS WHARF RD), 
TOWER EE. (90 QUEENS WHARF RD) ",989.52,557.25,2017-04-06,14 163201,New Building,   ,0,Inspection, ,BREMNER,511,BLVD,Mixed Use/Res w Non Res
48737,2014-05-30,2015-10-27,Proposed new clubhouse for Cedar Brae golf & country club,238.95,238.95,2014-09-19,14 165292,New Building,M1X,0,Closed, ,MAC FROST,55,WAY,Other
48738,2014-06-06,2017-08-16,"Proposal to construct a 24 sty condo with 233 residential units, commercial at grade, and 5 levels of below grade parking.  64-70 Shuter St.",302,,2015-01-28,14 169786,New Building,M5B,0,Closed, ,SHUTER,68,ST,Mixed Use/Res w Non Res
48739,2014-06-12,2017-09-26,Proposal to construct a 14 sty condo with 241 residential units and 2 levels of below grade parking.  BLOCK 11.  Tentative address - 38 Cameron St.,497.0,0.0,2017-03-31,14 172874,New Building,M5T,0,Closed,W,DUNDAS,571,ST,Apartment Building
48740,2014-06-15,,"Construct a 8 storey apartment building with 79 residential units and 1 level below grade amenity and common areas connecting to an existing building by an underground walkway.

",580,,2015-12-22,14 174102,New Building,M4P,0,Inspection, ,ERSKINE,88,AVE,Apartment Building
48741,2014-06-15,2019-08-12,"Construct a 32-storey apartment building with 399 units - Permit 14-174105

",70,0.0,2017-01-10,14 174105,New Building,M4P,0,Closed, ,ERSKINE,99,AVE,Apartment Building
48742,2014-06-20,,To construct a green roof over the  existing attached rear car port.,30.70,,2014-07-18,14 177417,Small Residential Projects,M5A,0,Inspection, ,ONTARIO,426,ST,SFD - Detached
48743,2014-06-20,2015-07-15,Green roof installation,74.9,,2014-10-01,14 177778,Small Residential Projects,M2N,0,Closed, ,SENLAC,20 A,RD,SFD - Detached
48744,2014-06-24,2018-07-31,"Proposal to construct a new 9 sty condo with 116 residential units and 2 levels of below grade parking.  The Code Condo's.  6 Parkwood Ave.
RE:Alternative solution for standpipe system in connection to BLD 14 179367.",320.68,0.0,2015-08-10,14 179367,New Building,M4V,0,Closed,W,ST CLAIR,282,AVE,Apartment Building
48745,2014-07-02,2015-08-26,new community centre ,414,0.0,2014-07-30,14 183525,New Building,M1W,0,Closed, ,MCNICOLL,1030,AVE,Community Hall
48746,2014-07-08,,"Proposal to construct a 60 sty condo with 636 residential units, commercial at grade and 3rd floor, and 5 levels of below grade parking.",30.0,0.0,2017-01-26,14 186513,New Building,M4Y,0,Inspection, ,YONGE,460,ST,Mixed Use/Res w Non Res
48747,2014-07-09,2022-11-30,"New building with 206 residential units and restaurant, lounges, lobby etc. and Culinary Arts Centre",1916 ,,2014-12-15,14 187352,New Building,M1G,0,Closed, ,PROGRESS,941,AVE,Mixed Use/Res w Non Res
48748,2014-07-29,2022-06-14,"Proposal to construct a 27 storey mixed use building, with dwelling units and dwelling rooms, and retail at First Floor,  the second and third floor will have dining halls, the second floor will also office space.",873,195.6,2017-06-30,14 198747,New Building,M5T,0,Closed, ,COLLEGE,255,ST,Mixed Use/Res w Non Res
48749,2014-08-08,,"To construct a new 10 storey mixed use building containing 122 residential suites and retail on the ground floor. Two levels of below grade parking for Residents, including a commecial parking garage with 8 parking spaces. Previously 829, 833 and 835 St Clair Ave W.",247,,2016-04-14,14 203424,New Building,M6C,0,Inspection,W,ST CLAIR,829,AVE,Mixed Use/Res w Non Res
48750,2014-08-08,2021-03-17,"Construct new three storey Catholic elementary school.

Note: available roof area 2209m2, require 30 percent green roof (663m2,) providing 0 PAID CASH IN LIEU ",0,663.0,2016-07-18,14 203621,New Building,M8V,0,Closed, ,COLONEL SAMUEL SMITH PARK,6,DR,Elementary School
48751,2014-08-14,,"To construct a new six storey mixed use building containing 48 residential units, and retail on the ground floor.",115.2,,2016-06-01,14 206694,New Building,M4M,0,Inspection,E,QUEEN,1075,ST,Mixed Use/Res w Non Res
48752,2014-08-15,,"To construct a new 25 storey condo building with 254 residential dwelling units, and retail uses on grade.  There will also be five floors of below grade parking provided. 
See PB folder 14-265922",496.58,0.0,2017-02-13,14 207315,New Building,   ,0,Inspection, ,COLBORNE,60,ST,Other
48753,2014-08-19,,"Proposed two storey and ground floor additions to an existing office building.
Green roof shown on the key plan; to be approved under the separate building permit (as per applicants request)
Bridge link is subject to the separate building permit. All plans related to the bridge link were removed from this building permit.",275.2,,2015-04-17,14 208554,Building Additions/Alterations,M9W,0,Inspection, ,FASKEN,27,DR,Office
48754,2014-08-20,,"Demolition of existing place of worship and construction of new 1844.21m2 (total) place of worship.
1280.50m2 ground floor gfa.",278.86,278.86,2016-05-20,14 209528,New Building,M1K,0,Inspection, ,BIRCHMOUNT,733,RD,Place of Worship
48755,2014-08-21,,"Construct new one storey grocery store with mezzanine (Shell Permit - Base Building) - ""Bldg B""",1008,,2015-01-27,14 209736,New Building,M1H,0,Inspection, ,MARKHAM,666,RD,Retail Store
48756,2014-08-21,,"Proposal to construct new 4 storey car dealership for Volkswagen.  This building also contains uses for office, showroom and service area.  See also 10 299527 ZPR.",404.0,0.0,2015-02-13,14 210021,New Building,   ,0,Inspection,E,DUNDAS,777,ST,Other
48757,2014-09-04,,"To construct a new 8 storey mixed use building with groundfloor commercial, and 128 Residential units and includes an underground parking with 2 levels",230,,2017-03-17,14 216875,New Building,M6L,0,Inspection, ,KEELE,2522,ST,Mixed Use/Res w Non Res
48758,2014-09-09,,"Proposal for a 2 storey addition, renovate and repair existing conditions and remove and replace mechanical, electrical and conveyance systems.  Renovate retail spaces on ground floor of the existing parking garage.",51.2,,2017-05-12,14 219091,Building Additions/Alterations,M4Y,0,Inspection,E,CHARLES,20,ST,Parking Garage
48759,2015-08-26,,"REV #1-REDUCE SIZE OF FOOTPRINT
Proposed new 2,965m2 two storey ""Toronto Zoo"" Health Care addition  ",610.19,0.0,2015-10-27,14 223706,Building Additions/Alterations,M1B,1,Revision Issued, ,OLD FINCH,361 A,AVE,Other
48760,2014-09-17,,"Proposed new 2,965m2 two storey ""Toronto Zoo"" Health Care addition  ",489.12,,2015-02-19,14 223706,Building Additions/Alterations,M1B,0,Inspection, ,OLD FINCH,361 A,AVE,Other
48761,2014-09-19,2016-03-23,Proposal to construct detached garage with green roof at rear of a townhouse single family dwelling. Refer to ZZC and CofA decisions.,36.3,,2014-09-25,14 224819,Small Residential Projects,M5A,0,Closed, ,ONTARIO,315,ST,SFD - Townhouse
48762,2014-10-02,,"Proposal to construct new 3 storey student  Athletic Centre for Humber College.
Available roof area 720m2  at 20 percent required 144m2, proposes green roof at 250m2.",250,0.0,2016-03-23,14 231152,New Building,M8V,0,Inspection,W,LAKE SHORE,3246,BLVD,Recreational
48763,2014-10-02,,"Proposal to construct 3 storey Student Welcome Center for Humber College.
green roof provided 530m2 30 percent
",530,0.0,2015-10-07,14 231200,New Building,   ,0,Inspection,W,LAKE SHORE,3155,BLVD,College/Trade/Tech School/Training Cent.
48764,2014-10-02,2016-01-27,"Building B - Multiple Use/Non Residential"". Its description will be changed to ""Proposal to construct a 2-storey mixed use office and industrial building with 32 units (2958 sq m).",387.03,,2015-07-22,14 231616,New Building,M4G,0,Closed, ,WICKSTEED,209,AVE,Multiple Use/Non Residential
48765,2014-10-02,2017-03-03,"Building D - Proposal to construct a 3-storey storage building (5406 m2), and four single storey walk-up storage blocks: Storage 1 (279 m2), Storage 2 (222 m2), Storage 3 (641 m2), Storage 4 (528 m2).",180,0.0,2016-11-16,14 231634,New Building,M4G,0,Closed, ,WICKSTEED,209,AVE,Industrial
48766,2014-10-15,,"To construct a new mixed use building containing 452 residential units and two retail units complete with commercial parking garage further to zoning by law 1029-2014 and COA A0436/16TEY. 

See 13 128786 STE SA & 13 128791 STE OZ",528.5,0.0,2018-02-27,14 237565,New Building,M4P,0,Inspection, ,ROEHAMPTON,183,AVE,Apartment Building
48767,2014-10-22,,Adaptive reuse of exisiting heritage building for commerical use new 27 storey apartment building behind with 4 levels parking.,348,0.0,2017-06-07,14 241284,New Building,M4P,0,Inspection, ,YONGE,2384,ST,Apartment Building
48768,2014-12-17,2016-03-23,"REV. #1 - updated window openings and added a green roof 
Two storey dwelling with attached garage at grade, and finished basement created through consent - Part 2 to be given address of 19 Evergreen Gdns.",536,,2015-01-08,14 245143,New Houses,M4G,1,Closed, ,EVERGREEN,21,GDNS,SFD - Detached
48769,2014-12-17,2016-03-23,"REV. #1- updated window openings and added green roof
Two storey dwelling with attached garage at grade, and finished basement created through consent - Part 2",238,,2015-01-08,14 245186,New Houses,M4G,1,Closed, ,EVERGREEN,21,GDNS,SFD - Detached
48770,2014-10-30,2019-02-20,New 16 storey residential apartment building with 250 dwelling units and underground parking garage,600,0.0,2017-01-19,14 245630,New Building,M1J,0,Closed, ,DANFORTH,1340,RD,Apartment Building
48771,2014-11-03,,"Proposal to construct a 56 storey condo with 585 residential units, ground floor commercial spaces, 4 levels of underground parking, and conserve the existing buildings in accordance with the approved Conservation Plan.  836-850 YONGE ST & 1-9A YORKVILLE AVE.",257,,2018-06-19,14 246853,New Building,M4W,0,Inspection, ,YONGE,836,ST,Mixed Use/Res w Non Res
48772,2014-11-03,2017-12-06,"Proposal to construct a 6 storey condo with 87 residential units, commercial spaces on ground floor, and 2 levels of underground parking.",336.0,0.0,2017-10-24,14 246981,New Building,M6J,0,Closed, ,OSSINGTON,109-111,AVE,Mixed Use/Res w Non Res
48773,2014-11-04,2021-02-18,"Proposal to construct 16 storey/157 residential units condo tower with commercial use at grade.
Total avail roof area 955m2, 40 percent required 382m2, provided green roof 656m2 ",656,0.0,2016-03-18,14 247824,New Building,M8V,0,Closed,W,LAKE SHORE,2151-2153,BLVD,Mixed Use/Res w Non Res
48774,2014-11-04,,"To construct a 23 storey building with 338 dwelling units, retail at ground level and 4 levels of underground parking levels",1232.3,0.0,2018-07-10,14 247852,New Building,M2J,0,Inspection,E,SHEPPARD,2205,AVE,Mixed Use/Res w Non Res
48775,2014-11-06,,"To construct a new 16 storey Mixed use apartment Building with 281 Residential units, ground floor retail and underground garage                                                                                                                                                                                                                                                                                                                                                           Subject to By-law 1137-2010",1216,0.0,2019-11-22,14 248687,New Building,M8V,0,Inspection,W,LAKE SHORE,2143,BLVD,Mixed Use/Res w Non Res
48776,2014-11-07,2022-05-04,"Proposal to construct a 50-storey Mixed Use/Residential with Non Resident building.  Building will include Commercial on the 1st storey, City Community Space on the 1st and 2nd storeys, 4 levels of Below Grade Parking and 1,004 Residential Units.",247,211.0,2018-10-16,14 249369,New Building,M5B,0,Closed, ,JARVIS,241,ST,Mixed Use/Res w Non Res
48777,2014-11-12,,"13 storey apartment building containing 245 residential dwelling units and four levels of underground parking - Colours of Emerald City - BIYU - Phase 1, Block B1",489,,2018-04-10,14 250299,New Building,   ,0,Permit Issued, ,GEORGE HENRY,125,BLVD,Apartment Building
48778,2014-11-12,2020-02-27,"Proposal to construct a new 3 storey SFD-detached dwelling with an internal garage, front porch, rear deck, roof deck, and side balcony.  See also 14 110355 ZZC, 14 160716 MV and 14 250511 DEM.",12.50,,2015-01-09,14 250520,New Houses,M4W,0,Closed, ,ASTLEY,4,AVE,SFD - Detached
48779,2014-11-18,,Construct 35 storey new condominium (The Beacon) with retail on ground floor and commerical on 2nd and 3rd floors (374 dwelling units),1074,0.0,2016-12-21,14 253380,New Building,M2N,0,Inspection, ,YONGE,5200,ST,Apartment Building
48780,2014-11-18,,Proposal for constructing an eight storey institutional building with 50 below grade parking spaces and two loading spaces.  Scope of work includes office use on floors 5 through 7.,116.8,279.9,2017-04-27,14 253621,New Building,M5S,0,Inspection, ,ST GEORGE,55,ST,Multiple Use/Non Residential
48781,2014-11-18,,"Proposal to construct a 56-storey condominium with 621 residential units, (4 of which are condo townhouses adajancent to the tower) and 10 storeys of office on the northern portion, the ground floor will be commercial  with 3 levels of underground parking, ""CASA III"", note: see two active shoring permits 14-232376 and 14-251344",214,0.0,2017-11-28,14 253693,New Building,M4Y,0,Inspection,E,CHARLES,50-60,ST,Mixed Use/Res w Non Res
48782,2014-11-21,2021-11-11,"9-15 storey (connected) residential apartment building containing 372 dwelling units, ground floor amenity area, retail and offices at the mezzanine level, four levels of underground parking, outdoor swimming pool on the rooftop of the 9 storey building, green roof - Treviso Phase 3",537,0.0,2018-10-05,14 254972,New Building,M6A,0,Closed, ,DUFFERIN,3095,ST,Mixed Use/Res w Non Res
48783,2014-11-24,,"Proposal to construct  a new 60 storey mixed use building containing 739 dwelling units, 5,650 square metres of non-residential uses including retail uses at grade and office uses in the second and third floors.  There are 134 commercial parking spaces and 471 residential parking spaces proposed below grade and 774 bicycle parking spaces. The proposal also includes an expanded park space from Wellesley Street to Breadalbane Street.  The site is subject to site specific by-laws 1063-2014 and 1064-2014.  See also 14 227846 STE.",514.0,0.0,2018-12-17,14 255836,New Building,   ,0,Inspection,W,WELLESLEY,11,ST,Mixed Use/Res w Non Res
48784,2014-11-26,,"Proposal to construct a 28 storey mixed-use condominium containing 332 residential units (5 stacked townhouses adajacent to the tower), with retail on the ground floor and 6 levels of above grade parking",1204,0.0,2017-05-02,14 256786,New Building,M5A,0,Inspection, ,EASTERN,210,AVE,Mixed Use/Res w Non Res
48785,2014-11-26,,"Proposal to construct a 44 storey condo with 552 residential units, 9 storey podium, 5 levels of below grade parking, and commercial at ground floor.  See also 11 294755 STE, 13 227411 ZPR, and the OMB decision.
",663.03,0.0,2017-11-24,14 256851,New Building,   ,0,Inspection, ,BONNYCASTLE,12,ST,Mixed Use/Res w Non Res
48786,2014-11-27,2018-05-08,11 Storey Residential Condominium With 3 Levels of U/G Garage. 2800 Keelle Residences Inc.,828,,2016-04-28,14 257413,New Building,M3M,0,Closed, ,KEELE,2800,ST,Apartment Building
48787,2014-11-27,2019-09-23,Construct a new 15 storey residential condo with retail stores on ground floor,3802,0.0,2018-08-31,14 257417,New Building,   ,0,Closed, ,RANEE,255,AVE,Apartment Building
48788,2014-11-27,2019-09-23,Construct a new 7 storey residential condo for TCHC with a total of 77 units,3802,0.0,2017-11-09,14 257431,New Building,   ,0,Closed, ,RANEE,255,AVE,Apartment Building
48789,2014-11-28,2017-01-17,To demolish existing Elementary School & Construct new Elementary School with Daycare Facilities within.,620,0.0,2015-04-30,14 257764,New Building,M9R,0,Closed, ,CLEMENT,59,RD,Elementary School
48790,2014-11-28,2019-12-19,To construct a 33 storey mixed use condo building containing 335 dwelling units.,402.0,0.0,2016-12-22,14 257790,New Building,M5B,0,Closed, ,CHURCH,355,ST,Mixed Use/Res w Non Res
48791,2014-12-01,2022-03-22,"PROPOSAL CHANGED TO 80 RESIDENTIAL UNITS.  DS MAY 12 2016
Proposal to construct an 9 storey condominium building with 71 residential units and 2 levels of underground parking ",255.53,,2018-05-09,14 258677,New Building,M1N,0,Closed, ,KINGSTON,1346,RD,Apartment Building
48792,2014-12-03,2022-08-23,"Proposal to construct a 45 storey condo building with 682 residential units, commercial at ground floor, and 7 levels of below grade parking.  125 Richmond St E & 20 Lombard St.  NOTE: Separate permit for alterations & connection to adjacent Heritage building (26 Lombard St) to be submitted at a later date.",540.0,0.0,2019-08-09,14 259634,New Building,M5C,0,Closed,E,RICHMOND,25,ST,Mixed Use/Res w Non Res
48793,2014-12-05,,"7 storey apartment building containing a total of 69 dwelling units of which 13 are two storey dwelling units at grade, green roof, outdoor rooftop amenity area and three levels of underground parking - Upper House Condominium",320,0.0,2017-06-16,14 260744,New Building,M4G,0,Inspection, ,LAIRD,2,DR,Apartment Building
48794,2014-12-05,,"Parking Garage - 7 storey apartment building containing a total of 69 dwelling units of which 13 are two storey dwelling units at grade, green roof, outdoor rooftop amenity area and three levels of underground parking - Upper House Condominium",320,,2017-10-30,14 260855,New Building,M4G,0,Inspection, ,LAIRD,2,DR,Parking Garage
48795,2014-12-05,,"Proposal to construct a new 8 storey apartment building with 61 rental residential units, commercial at grade, and 3 levels of below grade parking. 547-555 COLLEGE ST.",117,0.0,2021-11-03,14 261064,New Building,M6G,0,Inspection, ,COLLEGE,547,ST,Mixed Use/Res w Non Res
48796,2014-12-09,2019-04-18,"Proposal to construct 28 storey/283 dwelling units residential apartment building with 2 level underground parking garage.
Note: available roof area 65.8m2 required green roof 32.9m2, provided 61m2, more than the required 50 percent",61,0.0,2017-06-29,14 261921,New Building,M9B,0,Closed,W,DUNDAS,5365,ST,Apartment Building
48797,2014-12-09,,"Proposal to construct 2 condo towers (35 storey & 29 storey), 746 dwelling units, 4 levels of shared underground parking, and commercial at grade.","1,600.0",,,14 262283,New Building,M6K,0,Issuance Pending, ,ORDNANCE,30,ST,Mixed Use/Res w Non Res
48798,2014-12-09,,5-19 storey rental apartment building containing 188 dwelling units and one level of underground parking - Emerald City Developments IV Inc - Building D2,74,0.0,2017-09-28,14 262293,New Building,M2J,0,Permit Issued, ,PARKWAY FOREST,125,DR,Apartment Building
48799,2014-12-10,,"A 21 storey condominium building containing 282 residential units with two levels of underground parking - Phase 2 ""Love Condos""",0,160.7,2016-04-11,14 262585,New Building,   ,0,Inspection, ,BONIS,0,AVE,Apartment Building
48800,2014-12-10,,Proposal to construct two residential building towers (66 and 49 storey) on 6 storey podium with one storey commercial component on south and five storey on north side. Proposal will include construction of underground parking garage.,590.2,0.0,2019-05-16,14 262832,New Building,M8V,0,Inspection,W,LAKE SHORE,2183,BLVD,Mixed Use/Res w Non Res
48801,2014-12-11,,To construct a new 15 storey apartment building (Market Building),2194,0.0,2020-01-29,14 263099,New Building,M6A,0,Inspection, ,LEILA,1,LANE,Apartment Building
48802,2014-12-11,,To construct a new 8 storey apartment building 78 units for TCHC (Rental Building),157,53.0,2020-01-24,14 263247,New Building,M6A,0,Inspection, ,LEILA,1,LANE,Apartment Building
48803,2014-12-15,2019-12-19,"Proposal to construct an 18-storey mixed-use building with 93 residential units, 3 levels of below grade parking, amenity space on the 5th floor and commercial space on the ground floor. ",0,10.4,2018-02-27,14 264349,New Building,M5P,0,Closed, ,BATHURST,1486,ST,Mixed Use/Res w Non Res
48804,2014-12-16,2021-06-15,Proposed mixed use complex  including a 16-storey component on Eglinton Avenue West  at Oakwood Avenue (containing 219 residential units and ground floor commercial space fronting Eglinton Avenue West) and a low-rise component comprising townhouse and stacked townhouse units fronting Lanark Avenue.  Parking will be provided in 3 levels of underground parking. ,1335,0.0,2019-02-04,14 264762,New Building,M6E,0,Closed,W,EGLINTON,1603,AVE,Parking Garage
48805,2014-12-17,,"Proposal to construct a three-storey addition with basement linking two existing buildings at 56 Spadina Road and 45 Walmer Road. The existing building at 58 Spadina Road will be demolished. The new lot is comprised of 56 & 58 Spadina Road and 45 Walmer Road and is owned by the University of Toronto and will be used for an Elementary and Post Secondary School use -  ""Dr Eric Jackman Institute of Child Study""",160,0.0,2016-11-01,14 265297,Building Additions/Alterations,M5R,0,Inspection, ,SPADINA,56,RD,Elementary School
48806,2014-12-18,,"Proposal to construct a 3 storey rear addition to existing  University of Toronto campus building - Daniels Faculty of Architecture, Landscape and Design.  See also 13 268218 STE, 14 131953 MV and 14 188319 DEM.",638,,2015-10-28,14 265586,Building Additions/Alterations,M5S,0,Inspection, ,SPADINA,1,CRES,University
48807,2014-12-18,,"Proposal to construct a 5 storey mixed use building (St Lawrence Market North) with 4 levels of below grade parking, ground floor market & retail, 2nd floor office (servicing courts above), restaurant, and comunity space & gallery, 3rd floor office (servicing courts above), 4th floor courts & office, and 5th floor courts.  NOTE: Building will be linked to north building (St Lawrence Hall) at 2nd floor for convenience and a service trench on P1.",1550,,2020-02-05,14 265709,New Building,M5E,0,Inspection,E,FRONT,92,ST,Multiple Use/Non Residential
48808,2014-12-18,,Proposal to construct a 13 storey residential condo with 159 units and 1 level of underground parking.  See also 11 218221 STE and 14 229457 MV.,393.3,0.0,2017-10-04,14 265842,New Building,   ,0,Inspection, ,SACKVILLE,200,ST,Apartment Building
48809,2014-12-19,2019-01-16,New 10 storey condominium building containing 259 residential units with two levels of underground parking and mixed commercial residential on ground floor.,1136,0.0,2016-07-08,14 266003,New Building,M1N,0,Closed, ,KINGSTON,2229,RD,Apartment Building
48810,2014-12-19,,New 7 Storey Condo Mixed use Residential/Retail Building with 2 level of underground parking.,597,,2019-10-11,14 266073,New Building,M5M,0,Inspection, ,AVENUE,1700,RD,Apartment Building
48811,2014-12-19,,"Proposal to construct a 32 storey condominum building containing 459 residential units with 4 levels of underground parking - Block 4A, ""Fortune at Fort York""","1,804.0",0.0,2019-07-23,14 266096,New Building,   ,0,Inspection, ,GRAND MAGAZINE,65,ST,Apartment Building
48812,2014-12-19,,"Proposal to construct a 34-storey mixed-use building with 443 residential units, 3 levels of below grade parking, and commercial on ground floor.",678.0,0.0,2018-02-13,14 266226,New Building,M4P,0,Inspection,E,EGLINTON,161,AVE,Mixed Use/Res w Non Res
48813,2014-12-19,,"Proposal to construct 8 storey/35 dwelling units apartment building with 3 levels of underground parking.

NOTE: DEMOLITION CREDIT APPLIED TO DEVELOPMENT AT 2114 BLOOR PERMIT OFF SITE PER OMB BYLAW FOR EDC, DC AND PARK LEVIES. 
Available roof area is 427.82m2 )
requires 128.28m2
proposes 262.19m2 61 percent.
",262.19,0.0,2018-05-23,14 266247,New Building,M8X,0,Inspection,W,BLOOR,2800,ST,Apartment Building
48814,2014-12-19,,"Proposal to construct a new 1-storey library building.(Albion Public Library)
Refer to ZZC 14-155215, 14-179680 WET 01 SA and COA Decision A491/14EYK",1110,0.0,2015-06-05,14 266371,New Building,M9V,0,Inspection, ,ALBION,1515,RD,Library
48815,2014-12-19,,"Revised proposal as of June 2019 to construct a 27  storey condo with 340 residential units, commercial on ground floor, and 5 levels of below grade parking.
",330.0,0.0,2020-06-01,14 266401,New Building,M5V,0,Inspection,W,RICHMOND,324,ST,Mixed Use/Res w Non Res
48816,2014-12-22,,"Proposal to construct a new 5 storey mixed use building with retail at grade, office spaces above, and 1 level below grade parking.",121.4,0.0,2016-03-09,14 266875,New Building,M4W,0,Inspection, ,YONGE,1128,ST,Multiple Use/Non Residential
